,kod,tuman,markazi,viloyat,parent_id
0,1703202,Oltinko‘l tumani,Oltinko‘l a.p.,1703,0
1,1703203,Andijon tumani,Kuyganyor shaharchasi,1703,0
2,1703206,Baliqchi tumani,Baliqchi shaharchasi,1703,0
3,1703209,Bo‘ston tumani,Bo‘z shaharchasi,1703,0
4,1703210,Buloqboshi tumani,Buloqboshi shaharchasi,1703,0
5,1703211,Jalaquduq tumani,Jalaquduq sh.,1703,0
6,1703214,Izboskan tumani,Paytug sh.,1703,0
7,1703217,Ulug‘nor tumani,Oq oltin shaharchasi,1703,0
8,1703220,Qo‘rg‘ontepa tumani,Qo‘rg‘ontepa sh.,1703,0
9,1703224,Asaka tumani,Asaka sh.,1703,0
10,1703227,Marxamat tumani,Marxamat sh.,1703,0
11,1703230,Shaxrixon tumani,Shaxrixon sh.,1703,0
12,1703232,Paxtaobod tumani,Paxtaobod sh.,1703,0
13,1703236,Xo‘jaobod tumani,Xo‘jaobod sh.,1703,0
14,1706204,Olot tumani,Olot sh.,1706,1
15,1706207,Buxoro tumani,Gala Osiyo shaharchasi,1706,1
16,1706212,Vobkent tumani,Vobkent sh.,1706,1
17,1706215,G‘ijduvon tumani,G‘ijduvon sh.,1706,1
18,1706219,Kogon tumani,Kogon sh.,1706,1
19,1706230,Qorako‘l tumani,Qorako‘l sh.,1706,1
20,1706232,Qorovulbozor tumani,Qorovulbozor sh.,1706,1
21,1706240,Peshku tumani,Yangibozor shaharchasi,1706,1
22,1706242,Romitan tumani,Romitan sh.,1706,1
23,1706246,Jondor tumani,Jondor shaharchasi,1706,1
24,1706258,Shofirkon tumani,Shofirkon sh.,1706,1
25,1708201,Arnasoy tumani,G‘oliblar shaharchasi,1708,2
26,1708204,Baxmal tumani,O‘smat shaharchasi,1708,2
27,1708209,G‘allaorol tumani,G‘allaorol sh.,1708,2
28,1708212,Sharof Rashidov tumani,Uchtepa shaharchasi,1708,2
29,1708215,Do‘stlik tumani,Do‘stlik sh.,1708,2
30,1708218,Zomin tumani,Zomin shaharchasi,1708,2
31,1708220,Zarbdor tumani,Zarbdor shaharchasi,1708,2
32,1708223,Mirzacho‘l tumani,Gagarin sh.,1708,2
33,1708225,Zafarobod tumani,Zafarobod shaharchasi,1708,2
34,1708228,Paxtakor tumani,Paxtakor sh.,1708,2
35,1708235,Forish tumani,Bog‘don shaharchasi,1708,2
36,1708237,Yangiobod tumani,Balandchaqir a.p.,1708,2
37,1710207,G‘uzor tumani,G‘uzor sh.,1710,3
38,1710212,Dehqonobod tumani,Karashina shaharchasi,1710,3
39,1710220,Qamashi tumani,Qamashi sh.,1710,3
40,1710224,Qarshi tumani,Beshkent sh.,1710,3
41,1710229,Koson tumani,Koson sh.,1710,3
42,1710232,Kitob tumani,Kitob sh.,1710,3
43,1710233,Mirishkor tumani,Yangi Mirishkor shaharchasi,1710,3
44,1710234,Muborak tumani,Muborak sh.,1710,3
45,1710235,Nishon tumani,Yangi Nishon sh.,1710,3
46,1710237,Kasbi tumani,Mug‘lon shaharchasi,1710,3
47,1710240,Ko‘kdala tumani,Yettitom sh.,1710,3
48,1710242,Chiroqchi tumani,Chiroqchi sh.,1710,3
49,1710245,Shahrisabz tumani,Shahrisabz sh.,1710,3
50,1710250,Yakkabog‘ tumani,Yakkabog‘ sh.,1710,3
51,1712211,Konimex tumani,Konimex shaharchasi,1712,4
52,1712216,Qiziltepa tumani,Qiziltepa sh.,1712,4
53,1712230,Navbahor tumani,Beshrabot a.p.,1712,4
54,1712234,Karmana tumani,Karmana shaharchasi,1712,4
55,1712238,Nurota tumani,Nurota sh.,1712,4
56,1712244,Tomdi tumani,Tomdibuloq shaharchasi,1712,4
57,1712248,Uchquduq tumani,Uchquduq sh.,1712,4
58,1712251,Xatirchi tumani,Yangirabod sh.,1712,4
59,1714204,Mingbuloq tumani,Jo‘masho‘y shaharchasi,1714,5
60,1714207,Kosonsoy tumani,Kosonsoy sh.,1714,5
61,1714212,Namangan tumani,Toshbuloq shaharchasi,1714,5
62,1714216,Norin tumani,Xaqqulobod sh.,1714,5
63,1714219,Pop tumani,Pop sh.,1714,5
64,1714224,To‘raqo‘rg‘on tumani,To‘raqo‘rg‘on sh.,1714,5
65,1714229,Uychi tumani,Uychi shaharchasi,1714,5
66,1714234,Uchqo‘rg‘on tumani,Uchqo‘rg‘on sh.,1714,5
67,1714236,Chortoq tumani,Chortoq sh.,1714,5
68,1714237,Chust tumani,Chust sh.,1714,5
69,1714242,Yangiqo‘rg‘on tumani,Yangiqo‘rg‘on shaharchasi,1714,5
70,1718203,Oqdaryo tumani,Loyish shaharchasi,1718,6
71,1718206,Bulung‘ur tumani,Bulung‘ur sh.,1718,6
72,1718209,Jomboy tumani,Jomboy sh.,1718,6
73,1718212,Ishtixon tumani,Ishtixon sh.,1718,6
74,1718215,Kattaqo‘rg‘on tumani,Payshanba shaharchasi,1718,6
75,1718216,Qo‘shrabot tumani,Qo‘shrabot shaharchasi,1718,6
76,1718218,Narpay tumani,Oqtosh sh.,1718,6
77,1718224,Payariq tumani,Payariq sh.,1718,6
78,1718227,Pastdarg‘om tumani,Juma sh.,1718,6
79,1718230,Paxtachi tumani,Ziyovuddin shaharchasi,1718,6
80,1718233,Samarqand tumani,Gulobod shaharchasi,1718,6
81,1718235,Nurobod tumani,Nurobod sh.,1718,6
82,1718236,Urgut tumani,Urgut sh.,1718,6
83,1718238,Tayloq tumani,Toyloq shaharchasi,1718,6
84,1722201,Oltinsoy tumani,Qorliq shaharchasi,1722,7
85,1722202,Angor tumani,Angor shaharchasi,1722,7
86,1722203,Bandixon tumani,Bandixon shaharchasi,1722,7
87,1722204,Boysun tumani,Boysun sh.,1722,7
88,1722207,Muzrabot tumani,Xalqobod shaharchasi,1722,7
89,1722210,Denov tumani,Denov sh.,1722,7
90,1722212,Jarqo‘rg‘on tumani,Jarqo‘rg‘on sh.,1722,7
91,1722214,Qumqo‘rg‘on tumani,Qumqo‘rg‘on sh.,1722,7
92,1722215,Qiziriq tumani,Sariq shaharchasi,1722,7
93,1722217,Sariosiyo tumani,Sariosiyo shaharchasi,1722,7
94,1722220,Termiz tumani,Uchqizil shaharchasi,1722,7
95,1722221,Uzun tumani,Uzun shaharchasi,1722,7
96,1722223,Sherobod tumani,Sherobod sh.,1722,7
97,1722226,Sho‘rchi tumani,Sho‘rchi sh.,1722,7
98,1724206,Oqoltin tumani,Sardoba shaharchasi,1724,8
99,1724212,Boyovut tumani,Boyovut shaharchasi,1724,8
100,1724216,Sayxunobod tumani,Sayxun shaharcha,1724,8
101,1724220,Guliston tumani,Dehqonobod shaharchasi,1724,8
102,1724226,Sardoba tumani,Paxtaobod shaharchasi,1724,8
103,1724228,Mirzaobod tumani,Navro‘z shaharchasi,1724,8
104,1724231,Sirdaryo tumani,Sirdaryo sh.,1724,8
105,1724235,Xovos tumani,Xovos shaharchasi,1724,8
106,1726262,Uchtepa tumani,,1726,9
107,1726264,Bektemir tumani,,1726,9
108,1726266,Yunusobod tumani,,1726,9
109,1726269,Mirzo Ulug‘bek tumani,,1726,9
110,1726273,Mirobod tumani,,1726,9
111,1726277,Shayxontoxur tumani,,1726,9
112,1726280,Olmazor tumani,,1726,9
113,1726283,Sirg‘ali tumani,,1726,9
114,1726287,Yakkasaroy tumani,,1726,9
115,1726290,Yashnobod tumani,,1726,9
116,1726292,Yangihayot tumani,,1726,9
117,1726294,Chilonzor tumani,,1726,9
118,1727206,Oqqo‘rg‘on tumani,Oqqo‘rg‘on sh.,1727,10
119,1727212,Ohangaron tumani,Ohangaron sh.,1727,10
120,1727220,Bekobod tumani,Zafar shaharchasi,1727,10
121,1727224,Bo‘stonliq tumani,G‘azalkent sh.,1727,10
122,1727228,Bo‘ka tumani,Bo‘ka sh.,1727,10
123,1727233,Quyichirchiq tumani,Do‘stobod sh.,1727,10
124,1727237,Zangiota tumani,Eshonguzar shaharchasi,1727,10
125,1727239,Yuqorichirchiq tumani,Yangibozor shaharchasi,1727,10
126,1727248,Qibray tumani,Qibray shaharchasi,1727,10
127,1727249,Parkent tumani,Parkent sh.,1727,10
128,1727250,Pskent tumani,Pskent sh.,1727,10
129,1727253,O‘rtachirchiq tumani,Nurafshon sh.,1727,10
130,1727256,Chinoz tumani,Chinoz sh.,1727,10
131,1727259,Yangiyo‘l tumani,Yangiyo‘l sh.,1727,10
132,1727265,Toshkent tumani,Keles sh.,1727,10
133,1730203,Oltiariq tumani,Oltiariq shaharchasi,1730,11
134,1730206,Qo‘shtepa tumani,Langar a.p.,1730,11
135,1730209,Bog‘dod tumani,Bog‘dod shaharchasi,1730,11
136,1730212,Buvayda tumani,Ibrat shaharchasi,1730,11
137,1730215,Beshariq tumani,Beshariq sh.,1730,11
138,1730218,Quva tumani,Quva sh.,1730,11
139,1730221,Uchko‘prik tumani,Uchko‘prik shaharchasi,1730,11
140,1730224,Rishton tumani,Rishton sh.,1730,11
141,1730226,So‘x tumani,Ravon shaharchasi,1730,11
142,1730227,Toshloq tumani,Toshloq shaharchasi,1730,11
143,1730230,O‘zbekiston tumani,Yaypan sh.,1730,11
144,1730233,Farg‘ona tumani,Chimyon shaharchasi,1730,11
145,1730236,Dang‘ara tumani,Dang‘ara shaharchasi,1730,11
146,1730238,Furqat tumani,Navbahor shaharchasi,1730,11
147,1730242,Yozyovon tumani,Yozyovon shaharchasi,1730,11
148,1733204,Bog‘ot tumani,Bog‘ot shaharchasi,1733,12
149,1733208,Gurlan tumani,Gurlan shaharchasi,1733,12
150,1733212,Qo‘shko‘pir tumani,Qo‘shko‘pir shaharchasi,1733,12
151,1733217,Urganch tumani,Qoroul a.p.,1733,12
152,1733220,Xazorasp tumani,Xazorasp shaharchasi,1733,12
153,1733221,Tuproqqal’a tumani,Pitnak shahri,1733,12
154,1733223,Xonqa tumani,Xonqa shaharchasi,1733,12
155,1733226,Xiva tumani,Xiva sh.,1733,12
156,1733230,Shovot tumani,Shovot shaharchasi,1733,12
157,1733233,Yangiariq tumani,Yangiariq shaharchasi,1733,12
158,1733236,Yangibozor tumani,Yangibozor shaharchasi,1733,12
159,1735204,Amudaryo tumani,Mang‘it sh.,1735,13
160,1735207,Beruniy tumani,Beruniy sh.,1735,13
161,1735209,Bo‘zatov tumani,Bo‘zatov shaharchasi,1735,13
162,1735211,Qorao‘zak tumani,Qorao‘zak shaharchasi,1735,13
163,1735212,Kegeyli tumani,Kegeyli shaharchasi,1735,13
164,1735215,Qo‘ng‘irot tumani,Qo‘ng‘irot sh.,1735,13
165,1735218,Qanliko‘l tumani,Qanliko‘l shaharchasi,1735,13
166,1735222,Mo‘ynoq tumani,Mo‘ynoq sh.,1735,13
167,1735225,Nukus tumani,Oqmang‘it shaharchasi,1735,13
168,1735228,Taxiatosh tumani,Taxiatosh sh.,1735,13
169,1735230,Taxtako‘pir tumani,Taxtako‘pir shaharchasi,1735,13
170,1735233,To‘rtko‘l tumani,To‘rtko‘l sh.,1735,13
171,1735236,Xo‘jayli tumani,Xo‘jayli sh.,1735,13
172,1735240,Chimboy tumani,Chimboy sh.,1735,13
173,1735243,Shumanay tumani,Shumanay sh.,1735,13
174,1735250,Ellikkala tumani,Bo‘ston sh.,1735,13
175,1718406,Kattaqo‘rg‘on shahar,,1718,6
176,1727404,Olmaliq shahar,,1727,10
177,1727413,Bekobod shahar,,1727,10
178,1714367,Yangi Namangan tumani,,1714,5
179,1718401,Samarqand shahar,,1718,6
180,1714365,Davlatobod tumani,,1714,5
181,1727401,Nurafshon shahar,,1727,10
182,1714401,Namangan shahar,,1714,5
183,1726292,Yangixayot rayoni,,1726,9
184,1724401,Guliston shahar,,1724,8
185,1708401,Jizzax shahar,,1708,2
186,1735401,Nukus shahar,,1735,13
187,1730401,Farg‘ona shahar,,1730,11
188,1730405,Qo‘qon shahar,,1730,11
189,1730408,Quvasoy shahar,,1730,11
190,1710401,Qarshi shahar,,1710,3
191,1706401,Buxoro shahar,,1706,1
192,1722401,Termiz shahar,,1722,7
193,1710405,Shahrisabz shahar,,1710,3
194,1735250,Yellikkala tumani,,1735,13
195,1703401,Andijon shahar,,1703,0
196,1727407,Angren shahar,,1727,10
197,1727419,Chirchiq shahar,,1727,10
198,1727233,Qiyichirchiq tumani,,1727,10
199,1733401,Urganch shahar,,1733,12
200,1733221,Tuproqqal'a tumani,,1733,12
201,1712408,Zarafshon shahar,,1712,4
202,1712401,Navoiy shahar,,1712,4
203,1706403,Kogon shahar,,1706,1
204,1712248,Uchkuduq shahar,,1712,4
205,1730412,Marg‘ilon shahar,,1730,11
206,1727424,Yangiyo‘l shahar,,1727,10
207,1703408,Xonobod shahar,,1703,0
208,1727415,Ohangaron shahar,,1727,10
209,1733406,Xiva shahar,,1733,12
210,1724413,Yangier shahar,,1724,8
211,1712412,G‘ozg‘on shahar,,1712,4
212,1724410,Shirin shahar,,1724,8
